0.4,0.46582,4.7119
0.412,0.4998,4.8561
0.424,0.53508,4.9991
0.436,0.57217,5.1404
0.448,0.61069,5.2799
0.46,0.65007,5.4183
0.472,0.6909,5.5543
0.484,0.73231,5.6886
0.496,0.77427,5.8215
0.508,0.81669,5.9519
0.52,0.8592,6.0817
0.532,0.90171,6.2092
0.544,0.94414,6.3365
0.556,0.98628,6.4624
0.568,1.0284,6.5884
0.58,1.0705,6.7144
0.592,1.113,6.841
0.604,1.1564,6.9689
0.616,1.2007,7.0975
0.628,1.2485,7.2292
0.64,1.2966,7.3609
0.652,1.3554,7.4974
0.664,1.4142,7.6339
0.676,1.4898,7.7713
0.688,1.5709,7.9091
